celltype,subtype,Leiden,Dotplot Groups,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
FetalMes,FetalMes,10,B,Col1a2,Col3a1,Col1a1,Ctla2a,Col6a3,Col6a1,Col6a2,Eln,Rxfp1,Col11a1,Col5a1,Fbln2,Sfrp4,Atp8a1,Bgn,Dcn,Hsd11b2,Fbn1,Pbx1,Postn,Sparc,Igfbp5,Cdh11,Lama4,Pdgfra,Col5a2
FetalMes,FetalMes,25,B,Muc16,Trdn,Adam33,Msln,Gm42418,Flrt1,Dpp4,Smpd3,C3,Fgf9,Prap1,Upk3b,Prss23,Cdon,Egr1,Igfbp5,Slc39a8,Nfib,Tpbpa,Frmd4b,Fgf1,mt-Co2,Meg3,Flrt2,Col3a1,Crip1
FetalMes,FetalMes,11,,Lama1,Col4a1,Fst,Meg3,Tcf7l2,Lamb1,Pth1r,Col4a2,Ryr2,Adamts9,Ccn2,Lamc1,Ints6l,Gm26917,Cemip,Rian,Itga6,Kit,Ccn1,Mirg,P4ha2,Tinagl1,Crim1,Sparc,Plod2,Rnf165
FetalMes,FetalMes,27,,Meg3,Afp,Rian,Apob,Lrp2,Cubn,Trf,Mirg,Gm26917,Peg3,Kcnq1ot1,Mycbp2,Nrk,B830012L14Rik,Apoa1,Gm47283,Myo6,Agrn,Osbpl6,Abcc2,Dmxl1,Fmo1,Morc4,Peg10,Tut4,Morf4l2
NA,NA,36,,Cxcl9,Pdia6,mt-Nd4l,Adgrf4,Wsb2,Klf6,Hnrnpdl,Rpl18a,Man2a1,Rxfp1,S100a6,Ddx10,Rock1,Prl7a1,Rpl17,Stat3,Slc45a4,Zmpste24,Filip1l,Gzmf,Slc40a1,Gm37494,Tagln2,Ndufb7,Senp2,Lman2
Pericyte,Pericyte,17,B,Meg3,Rian,Plagl1,Col1a2,Col1a1,Mirg,Gnas,Dlk1,Fn1,B830012L14Rik,Col3a1,Peg3,Flna,Col5a1,Col27a1,Kcnq1ot1,Arhgef25,Ttc3,Gm26917,Igf2,C430049B03Rik,Egr1,Tead1,Pcdh7,Col16a1,Adam33
Pericyte,Pericyte,23,B,Myh11,Actg2,Acta2,Tagln,Mylk,Tpm2,Flna,Des,Tpm1,Col1a1,Cnn1,Igfbp2,Actb,Col1a2,Itih5,Postn,Myl6,Ctla2a,Fn1,Synpo2,Dstn,Col6a3,Dmpk,Cald1,Hspb1,S100a6
Pericyte,Pericyte,31,B,Col1a1,Col1a2,Col9a2,Lum,Col3a1,Igf2,Col5a1,Sparc,Col11a1,Dlk1,Thbs1,Tnc,Col2a1,Gpc3,Col5a2,H19,Fn1,mt-Co3,Nnat,Col16a1,Loxl2,mt-Co1,Col12a1,Col6a3,Serpinh1,Col18a1
Pericyte,Pericyte,37,D,Gm35533,Capns1,Gabarapl1,Sec11a,Lmntd1,Rpl10a,Nrk,Cltc,Akirin2,Naca,Creg1,Rcn2,Col4a1,Oaf,Rplp2,Ldlr,Eef1a1,Trap1a,Psmd4,Rpl41,Tfam,Rhob,Ptma,Tomm20,Csnk1g2,Prr14
Trophoblast,GC,7,C,Gm26917,C430049B03Rik,Gm47283,Peg3,Noct,Sct,Taf1d,Rbm25,Stag3,Map4k4,Tfap2c,Cdhr5,Sfmbt2,Kcnq1ot1,Ankrd11,Cdkn1c,Mki67,Top2a,Prune2,Trrap,Pitrm1,Nsd1,Ralbp1,Cep164,Xpo1,Pappa2
